Date,Close,Open,High,Low,Volume,,,,,,,,,,,,
10/21/20,79.67,78.67,80.94,78.58,2565874,,,,,,,,,,,,
10/22/20,80.77,79.65,81.1,79.25,1434042,,,,,,,,,,,,
10/23/20,82.05,81.3,82.12,81.03,1367757,,,,,,,,,,,,
10/26/20,79.52,81.25,81.91,78.83,1853254,,,,,,,,,,,,
10/27/20,80.21,79.78,80.34,79.14,1229002,,,,,,,,,,,,
10/28/20,75.83,77.99,78.07,75.73,1833959,,,,,,,,,,,,
10/29/20,78.36,76.12,79.69,76.11,2003064,,,,,,,,,,,,
10/30/20,81.05,83.61,84.35,80.22,4323438,,,,,,,,,,,,
11/2/20,81.3,81.41,83.04,80.8,2535446,,,,,,,,,,,,
11/3/20,82.51,81.59,83.09,80.83,1661653,,,,,,,,,,,,
11/4/20,87.46,85.51,88.57,85.3,3504926,,,,,,,,,,,,
11/5/20,88.17,89.05,89.68,87.53,1984633,,,,,,,,,,,,
11/6/20,88.09,87.7,88.62,87.02,1600378,,,,,,,,,,,,
11/9/20,88.15,89.55,90.9,88,2268270,,,,,,,,,,,,
11/10/20,87.02,86.55,88.15,85.87,2636142,,,,,,,,,,,,
11/11/20,87.64,87.5,88.21,87.37,1247988,,,,,,,,,,,,
11/12/20,87.49,87.38,88.41,87.28,1248754,,,,,,,,,,,,
11/13/20,88.85,87.88,89.05,87.23,1498908,,,,,,,,,,,,
11/16/20,89.07,88.59,89.95,88.38,1222534,,,,,,,,,,,,
11/17/20,88.51,88.85,89.25,88.35,1147114,,,,,,,,,,,,
11/18/20,87.34,88.26,88.67,87.31,1149985,,,,,,,,,,,,
11/19/20,88.2,86.92,88.48,86.85,1230356,,,,,,,,,,,,
11/20/20,87.11,88.26,88.7,87.09,2227988,,,,,,,,,,,,
11/23/20,86.74,87.48,87.7,85.89,2161975,,,,,,,,,,,,
11/24/20,88.44,86.53,88.58,86.38,1491698,,,,,,,,,,,,
11/25/20,88.57,88.64,88.93,87.83,1046122,,,,,,,,,,,,
11/27/20,89.66,88.65,90.2,88.62,883130,,,,,,,,,,,,
11/30/20,88.04,89.06,89.4,87.75,1809552,,,,,,,,,,,,
12/1/20,89.91,88.72,91.24,88.47,1739045,,,,,,,,,,,,
12/2/20,91.4,89.91,91.78,89.47,1208443,,,,,,,,,,,,
12/3/20,91.34,91.2,92.36,91.13,1227298,,,,,,,,,,,,
12/4/20,91.4,91.23,91.66,90.85,1375420,,,,,,,,,,,,
12/7/20,90.97,90.95,91.62,90.29,1306853,,,,,,,,,,,,
12/8/20,90.93,90.51,91.1,89.81,1096319,,,,,,,,,,,,
12/9/20,89.21,90.6,91.71,88.39,1505748,,,,,,,,,,,,
12/10/20,88.77,88.49,89.07,87.02,1362848,,,,,,,,,,,,
12/11/20,89.09,88.15,89.22,88,1208240,,,,,,,,,,,,
12/14/20,88,88.75,89.87,87.86,1600173,,,,,,,,,,,,
12/15/20,88.39,88.22,88.57,87.5,1482261,,,,,,,,,,,,
12/16/20,88.15,88.64,88.65,87.8,1443734,,,,,,,,,,,,
12/17/20,87.4,88.43,88.59,86.93,1624744,,,,,,,,,,,,
12/18/20,86.55,87.71,87.76,86.01,3996808,,,,,,,,,,,,
12/21/20,86.97,85.68,87.04,84.95,1828378,,,,,,,,,,,,
12/22/20,86.18,86.72,86.87,85.63,899558,,,,,,,,,,,,
12/23/20,86.62,86.41,87.4,86.25,1033917,,,,,,,,,,,,
12/24/20,86.94,86.75,87.3,86.46,346753,,,,,,,,,,,,
12/28/20,88.8,87.58,89.54,87.32,1393033,,,,,,,,,,,,
12/29/20,87.94,89.39,89.62,87.8,1299395,,,,,,,,,,,,
12/30/20,86.98,88.1,88.25,86.28,1303649,,,,,,,,,,,,
12/31/20,87.59,86.77,87.95,86.77,1006589,,,,,,,,,,,,
1/4/21,86.41,87.88,88.03,85.39,1899425,,,,,,,,,,,,
1/5/21,87.05,86.25,87.38,85.9,1145347,,,,,,,,,,,,
1/6/21,86.76,85.13,87.4,84.95,2598517,,,,,,,,,,,,
1/7/21,89.36,87,89.42,86.85,2253056,,,,,,,,,,,,
1/8/21,90.36,89.4,90.49,88.68,2047909,,,,,,,,,,,,
1/11/21,88.34,89.3,89.72,88.03,1209735,,,,,,,,,,,,
1/12/21,87.33,87.7,88.9,86.27,1357691,,,,,,,,,,,,
1/13/21,87.72,86.93,88.25,86.9,1094131,,,,,,,,,,,,
1/14/21,87.01,87.68,88.75,86.67,1179477,,,,,,,,,,,,
